PeakID (cmd=C57_H.p_peaks.bed mm9)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_8358	chr3	62142454	62144427	+	2773.72	NA	exon (NM_001081295, exon 1 of 14)	exon (NM_001081295, exon 1 of 14)	741	NM_001081295	622434	Mm.489603	NM_001081295	ENSMUSG00000036885	Arhgef26	4631416L12Rik|8430436L14Rik|AI303572|AW491953|SGEF	Rho guanine nucleotide exchange factor (GEF) 26	protein-coding
MACS_peak_12913	chr8	86117039	86119087	+	2773.06	NA	intron (NM_027179, intron 1 of 11)	intron (NM_027179, intron 1 of 11)	327	NM_027179	106529	Mm.352239	NM_027179	ENSMUSG00000031708	Tecr	2410016D23Rik|A230102P12Rik|AI173355|D17Ertd178e|Gpsn2|SC2	trans-2,3-enoyl-CoA reductase	protein-coding
MACS_peak_7369	chr2	59719501	59721094	+	2772.85	NA	intron (NM_001159636, intron 1 of 10)	CpG	366	NM_001159636	72137	Mm.488684	NM_001159636	ENSMUSG00000026988	Wdsub1	1700048E19Rik|2610014F08Rik	WD repeat, SAM and U-box domain containing 1	protein-coding
MACS_peak_11699	chr7	26442718	26445039	+	2772.27	NA	promoter-TSS (NM_138586)	promoter-TSS (NM_138586)	-98	NM_007533	12039	Mm.25848	NM_007533	ENSMUSG00000060376	Bckdha	-	branched chain ketoacid dehydrogenase E1, alpha polypeptide	protein-coding
MACS_peak_1757	chr11	35646714	35648472	+	2771.95	NA	intron (NM_025936, intron 1 of 14)	intron (NM_025936, intron 1 of 14)	437	NM_025936	104458	Mm.284906	NM_025936	ENSMUSG00000018848	Rars	2610011N19Rik|2610037E21Rik|AL033339|AW985894	arginyl-tRNA synthetase	protein-coding
MACS_peak_13135	chr8	113141788	113143743	+	2770.09	NA	5' UTR (NM_146216, exon 1 of 19)	5' UTR (NM_146216, exon 1 of 19)	227	NM_146216	234729	Mm.274894	NM_146216	ENSMUSG00000010936	Vac14	AA959718|BC032215|D8Wsu151e|Tax1bp2|Trx|ingls	Vac14 homolog (S. cerevisiae)	protein-coding
MACS_peak_13210	chr8	124899838	124901914	+	2769.97	NA	intron (NM_001029993, intron 1 of 18)	CpG	360	NM_001029993	76014	Mm.241489	NM_001029993	ENSMUSG00000017478	Zc3h18	1190001B23Rik|5830416A07Rik|Nhn1	zinc finger CCCH-type containing 18	protein-coding
MACS_peak_8192	chr3	9608166	9609921	+	2769.86	NA	intron (NM_133218, intron 1 of 8)	CpG	1042	NM_133218	170753	Mm.212908	NM_133218	ENSMUSG00000040209	Zfp704	C030026M03|C030034L19Rik|Gig1|Znf704	zinc finger protein 704	protein-coding
MACS_peak_12622	chr8	26350413	26352073	+	2769.80	NA	Intergenic	CpG	-39322	NM_177089	320165	Mm.308452	NM_177089	ENSMUSG00000065954	Tacc1	4833447E04Rik|AA960202|B230378H13Rik	transforming, acidic coiled-coil containing protein 1	protein-coding
MACS_peak_9553	chr4	131398642	131400357	+	2769.31	NA	exon (NM_025297, exon 1 of 10)	exon (NM_025297, exon 1 of 10)	113	NM_025297	26922	Mm.192706	NM_025297	ENSMUSG00000028910	Mecr	AI195831|Nrbf1	mitochondrial trans-2-enoyl-CoA reductase	protein-coding
MACS_peak_796	chr1	191510133	191513731	+	2769.28	NA	promoter-TSS (NM_001081363)	promoter-TSS (NM_001081363)	33	NM_001081363	108000	Mm.129746	NM_001081363	ENSMUSG00000026605	Cenpf	6530404A22Rik|AI325968|CENF|Lek1|PRO1779|mitosin	centromere protein F	protein-coding
MACS_peak_5141	chr16	23127006	23128940	+	2768.07	NA	promoter-TSS (NM_145480)	promoter-TSS (NM_145480)	-170	NM_145480	106344	Mm.386835	NM_145480	ENSMUSG00000022881	Rfc4	A1|AI894123|AU040575|RFC37	replication factor C (activator 1) 4	protein-coding
MACS_peak_11154	chr6	86617549	86620260	+	2768.07	NA	intron (NM_010751, intron 1 of 5)	CpG	249	NM_010751	17119	Mm.279580	NM_010751	ENSMUSG00000001156	Mxd1	AW122478|Mad|Mad1	MAX dimerization protein 1	protein-coding
MACS_peak_1072	chr10	59464565	59466891	+	2767.01	NA	promoter-TSS (NM_001199187)	promoter-TSS (NM_001199187)	132	NM_025514	52717	Mm.21793	NM_025514	ENSMUSG00000020107	Anapc16	2310005G07Rik|APC16|D10Ertd641e	anaphase promoting complex subunit 16	protein-coding
MACS_peak_5350	chr16	85547778	85551170	+	2766.91	NA	intron (NM_144853, intron 1 of 3)	intron (NM_144853, intron 1 of 3)	1144	NM_144853	224405	Mm.487298	NM_144853	ENSMUSG00000041134	Cyyr1	-	cysteine and tyrosine-rich protein 1	protein-coding
MACS_peak_8952	chr4	12097679	12099644	+	2766.67	NA	intron (NM_026558, intron 1 of 7)	CpG	501	NM_026558	68099	Mm.25340	NM_026558	ENSMUSG00000028218	Fam92a	6720467C03Rik|Fam92a1	family with sequence similarity 92, member A	protein-coding
MACS_peak_12671	chr8	37157094	37159976	+	2766.37	NA	intron (NM_172911, intron 1 of 5)	intron (NM_172911, intron 1 of 5)	653	NM_172911	244418	Mm.244971	NM_172911	ENSMUSG00000050271	D8Ertd82e	9830148H23|Sgk223|mFLJ00269	DNA segment, Chr 8, ERATO Doi 82, expressed	protein-coding
MACS_peak_5661	chr17	27164204	27165893	+	2765.64	NA	intron (NM_007523, intron 1 of 5)	intron (NM_007523, intron 1 of 5)	523	NM_007523	12018	Mm.2443	NM_007523	ENSMUSG00000057789	Bak1	Bak|N-BAK1|N-Bak	BCL2-antagonist/killer 1	protein-coding
MACS_peak_9201	chr4	80556269	80558737	+	2765.34	NA	exon (NM_026821, exon 1 of 2)	exon (NM_026821, exon 1 of 2)	913	NM_026821	52829	Mm.273986	NM_026821	ENSMUSG00000048706	D4Bwg0951e	1110029A09Rik|AV077978|AV175137|Lurap1l|WI-13707|bM350F23.1	DNA segment, Chr 4, Brigham & Women's Genetics 0951 expressed	protein-coding
MACS_peak_8899	chr3	154755272	154757203	+	2765.26	NA	promoter-TSS (NM_028938)	promoter-TSS (NM_028938)	105	NM_029330	75540	Mm.35218	NM_029330	ENSMUSG00000053870	Fpgt	1700016E03Rik	fucose-1-phosphate guanylyltransferase	protein-coding
MACS_peak_3649	chr13	67584155	67585976	+	2764.15	NA	intron (NM_001076791, intron 1 of 3)	intron (NM_001076791, intron 1 of 3)	124	NM_001076791	408067	Mm.315879	NM_001076791	ENSMUSG00000059839	Zfp874b	9630025I21Rik|Rslcan16	zinc finger protein 874b	protein-coding
MACS_peak_6635	chr19	6334514	6336474	+	2763.55	NA	exon (NM_001168488, exon 2 of 10)	exon (NM_001168488, exon 2 of 10)	455	NM_008583	17283	Mm.12917	NM_001168488	ENSMUSG00000024947	Men1	AW045611	multiple endocrine neoplasia 1	protein-coding
MACS_peak_6833	chr19	37624793	37626071	+	2763.52	NA	intron (NM_175353, intron 1 of 21)	CpG	524	NM_175353	107371	Mm.24865	NM_175353	ENSMUSG00000053799	Exoc6	4833405E05Rik|AW413330|C430002C19|Sec15|Sec15l1|hbd|msec15	exocyst complex component 6	protein-coding
MACS_peak_7171	chr2	28323137	28324689	+	2763.31	NA	intron (NM_080452, intron 2 of 3)	CpG-7892	327	NM_001166031	118451	Mm.294951	NM_001166031	ENSMUSG00000035772	Mrps2	1500019M10Rik	mitochondrial ribosomal protein S2	protein-coding
MACS_peak_6758	chr19	24934128	24936996	+	2762.54	NA	intron (NM_175013, intron 1 of 10)	intron (NM_175013, intron 1 of 10)	770	NM_175013	226041	Mm.391170	NM_175013	ENSMUSG00000041731	Pgm5	4833423B07|9530034F03Rik|D830025G17|aciculin	phosphoglucomutase 5	protein-coding
MACS_peak_3935	chr14	21211911	21213565	+	2762.02	NA	promoter-TSS (NM_025440)	promoter-TSS (NM_025440)	39	NM_025440	66242	Mm.23747	NM_025440	ENSMUSG00000049960	Mrps16	1500011E11Rik|Mprs16	mitochondrial ribosomal protein S16	protein-coding
MACS_peak_11735	chr7	28953690	28955923	+	2762.01	NA	promoter-TSS (NM_007991)	promoter-TSS (NM_007991)	39	NM_007991	14113	Mm.4595	NM_007991	ENSMUSG00000046865	Fbl	AL022665|FIB|FLRN|RNU3IP1	fibrillarin	protein-coding
MACS_peak_10860	chr6	29417369	29418846	+	2761.78	NA	intron (NM_025381, intron 1 of 1)	intron (NM_025381, intron 1 of 1)	324	NM_025381	66144	Mm.371614	NM_025381	ENSMUSG00000004285	Atp6v1f	1110004G16Rik	ATPase, H+ transporting, lysosomal V1 subunit F	protein-coding
MACS_peak_1644	chr11	6342837	6345244	+	2761.34	NA	intron (NM_029938, intron 1 of 4)	CpG	406	NM_029938	77605	Mm.27624	NM_029938	ENSMUSG00000041126	H2afv	C530002L11Rik|H2av	H2A histone family, member V	protein-coding
MACS_peak_9988	chr5	30890520	30892155	+	2760.92	NA	promoter-TSS (NR_040427)	promoter-TSS (NR_040427)	-345	NR_040427	100502829	Mm.39944	NR_040427		Gm9899	ENSMUSG00000053214	predicted gene 9899	miscRNA
MACS_peak_5455	chr17	7163986	7166459	+	2760.15	NA	intron (NM_147155, intron 1 of 3)	CpG	283	NM_147155	380608	Mm.371734	NM_147155	ENSMUSG00000052031	Tagap1	2610315E15Rik|AA415005|FKSG15	T cell activation GTPase activating protein 1	protein-coding
MACS_peak_2253	chr11	85165574	85167551	+	2759.98	NA	promoter-TSS (NM_138681)	promoter-TSS (NM_138681)	-104	NM_001166642	192197	Mm.287663	NM_001166642	ENSMUSG00000059439	Bcas3	1500019F07Rik|2610028P08Rik|AU021018|BC028339|K20D4|rudhira	breast carcinoma amplified sequence 3	protein-coding
MACS_peak_6228	chr18	33953797	33955711	+	2759.80	NA	non-coding (NR_038152, exon 1 of 2)	non-coding (NR_038152, exon 1 of 2)	208	NR_038151	69749	Mm.248787	NR_038151		2410004N09Rik	-	RIKEN cDNA 2410004N09 gene	miscRNA
MACS_peak_12506	chr7	150924755	150926884	+	2758.88	NA	intron (NM_024289, intron 1 of 21)	intron (NM_024289, intron 1 of 21)	446	NM_001199227	79196	Mm.21199	NM_001199227	ENSMUSG00000037606	Osbpl5	1110006M06Rik|AI462538|ORP5|Obph1|Osbp2	oxysterol binding protein-like 5	protein-coding
MACS_peak_13180	chr8	122081332	122083052	+	2754.56	NA	intron (NM_019709, intron 1 of 23)	intron (NM_019709, intron 1 of 23)	469	NM_001167910	56453	Mm.206934	NM_001167910	ENSMUSG00000031835	Mbtps1	0610038M03Rik|AV003995|S1P|SKI-1|Ski1|mKIAA0091	membrane-bound transcription factor peptidase, site 1	protein-coding
MACS_peak_3268	chr13	3916246	3918264	+	2753.73	NA	exon (NM_019671, exon 1 of 12)	exon (NM_019671, exon 1 of 12)	211	NM_019671	56349	Mm.468637	NM_001047159	ENSMUSG00000021215	Net1	0610025H04Rik|9530071N24Rik|AI604373|AU015857|Net1a|mNET1	neuroepithelial cell transforming gene 1	protein-coding
MACS_peak_6221	chr18	32536110	32538355	+	2752.82	NA	intron (NM_009668, intron 1 of 18)	CpG-6812	361	NM_009668	30948	Mm.4383	NM_001083334	ENSMUSG00000024381	Bin1	ALP-1|Amphl|BRAMP-2|SH3P9	bridging integrator 1	protein-coding
MACS_peak_2844	chr12	33986482	33988642	+	2752.66	NA	intron (NM_001033436, intron 1 of 7)	intron (NM_001033436, intron 1 of 7)	182	NM_001033436	380753	Mm.41540	NM_001033436	ENSMUSG00000020564	Atxn7l1	2810423G08Rik|Atxn7l4	ataxin 7-like 1	protein-coding
MACS_peak_4570	chr15	58703493	58705210	+	2751.53	NA	exon (NM_026642, exon 1 of 1)	exon (NM_026642, exon 1 of 1)	147	NM_026642	68260	Mm.278805	NM_026642	ENSMUSG00000037085	Trmt12	4632406N01Rik|AI449275|Tyw2	tRNA methyltranferase 12 homolog (S. cerevisiae)	protein-coding
MACS_peak_4437	chr15	11328262	11330226	+	2750.44	NA	exon (NM_033074, exon 1 of 19)	exon (NM_033074, exon 1 of 19)	169	NM_033074	110960	Mm.286061	NM_033074	ENSMUSG00000022241	Tars	D15Wsu59e|ThrRS	threonyl-tRNA synthetase	protein-coding
MACS_peak_9708	chr4	141345510	141347029	+	2748.80	NA	intron (NM_172338, intron 1 of 14)	CpG	290	NM_172338	214063	Mm.39102	NM_172338	ENSMUSG00000040697	Dnajc16	2900037O03Rik|4732437J24Rik|D030060M24|mKIAA0962	DnaJ (Hsp40) homolog, subfamily C, member 16	protein-coding
MACS_peak_3109	chr12	89598512	89600040	+	2748.02	NA	promoter-TSS (NM_028105)	promoter-TSS (NM_028105)	31	NM_028105	72113	Mm.333139	NM_028105	ENSMUSG00000021044	Adck1	2610005A10Rik	aarF domain containing kinase 1	protein-coding
MACS_peak_2900	chr12	55756040	55758327	+	2747.72	NA	intron (NM_134054, intron 1 of 1)	CpG	376	NM_134054	104725	Mm.485026	NM_134054	ENSMUSG00000044408	Sptssa	1110002B05Rik|AA407909|AA409588|AU041967|Ssspta	serine palmitoyltransferase, small subunit A	protein-coding
MACS_peak_4193	chr14	61403045	61404611	+	2745.89	NA	intron (NM_027436, intron 1 of 18)	intron (NM_027436, intron 1 of 18)	425	NR_040642	70478	Mm.486410	NM_027436	ENSMUSG00000021993	Mipep	5730405E07Rik|MIP	mitochondrial intermediate peptidase	protein-coding
MACS_peak_4322	chr14	79699438	79701471	+	2745.87	NA	intron (NM_025427, intron 2 of 4)	intron (NM_025427, intron 2 of 4)	988	NM_025427	66214	Mm.29811	NM_025427	ENSMUSG00000022018	1190002H23Rik	Rgc-32|Rgc32|Rgcc	RIKEN cDNA 1190002H23 gene	protein-coding
MACS_peak_2112	chr11	74977982	74983037	+	2745.02	NA	exon (NM_010430, exon 2 of 2)	exon (NM_010430, exon 2 of 2)	1145	NM_001098203	15248	Mm.57250	NM_001098203	ENSMUSG00000043099	Hic1	AA408311|HIC-1	hypermethylated in cancer 1	protein-coding
MACS_peak_5732	chr17	32965938	32967660	+	2743.52	NA	intron (NM_177359, intron 1 of 3)	intron (NM_177359, intron 1 of 3)	394	NM_177359	240064	Mm.476307	NM_177359	ENSMUSG00000095253	Zfp799	6030490I01Rik	zinc finger protein 799	protein-coding
MACS_peak_1443	chr10	112364911	112366750	+	2741.31	NA	5' UTR (NM_001033474, exon 1 of 1)	5' UTR (NM_001033474, exon 1 of 1)	252	NM_001033474	382423	Mm.431239	NM_001033474	ENSMUSG00000074748	Atxn7l3b	4921506J03Rik|6230409E21Rik|AI315132|ENSMUSG00000074747	ataxin 7-like 3B	protein-coding
MACS_peak_1178	chr10	75904350	75906333	+	2741.22	NA	exon (NM_008787, exon 1 of 42)	exon (NM_008787, exon 1 of 42)	316	NM_008787	18541	Mm.251794	NM_008787	ENSMUSG00000001151	Pcnt	AW476095|C86676|KEN|Pcnt2|kendrin|m239Asp|m275Asp	pericentrin (kendrin)	protein-coding
MACS_peak_5526	chr17	21625286	21627138	+	2739.68	NA	5' UTR (NM_013843, exon 1 of 5)	5' UTR (NM_013843, exon 1 of 5)	260	NM_013843	24132	Mm.488378	NM_013843	ENSMUSG00000057409	Zfp53	D030067O06Rik|KRAZ1|Zfp-53|Zfp118|zfas8	zinc finger protein 53	protein-coding
MACS_peak_7535	chr2	91802533	91806052	+	2739.05	NA	promoter-TSS (NM_138306)	promoter-TSS (NM_138306)	-572	NM_138306	104418	Mm.314923	NM_001166597	ENSMUSG00000040479	Dgkz	E130307B02Rik|ENSMUSG00000075035|F730209L11Rik|mDGK[z]	diacylglycerol kinase zeta	protein-coding
MACS_peak_2653	chr11	117709534	117712224	+	2737.77	NA	intron (NM_001012273, intron 1 of 2)	intron (NM_001012273, intron 1 of 2)	328	NM_009689	11799	Mm.8552	NM_001012273	ENSMUSG00000017716	Birc5	AAC-11|Api4|TIAP|survivin40	baculoviral IAP repeat-containing 5	protein-coding
MACS_peak_4128	chr14	55530516	55532636	+	2737.40	NA	intron (NM_021551, intron 1 of 8)	CpG-4489	393	NM_021551	59049	Mm.27435	NM_021551	ENSMUSG00000022199	Slc22a17	1700094C23Rik|24p3R|AU041908|AW555662|BOIT|Boct|mBOCT	solute carrier family 22 (organic cation transporter), member 17	protein-coding
MACS_peak_4377	chr14	118530781	118532396	+	2737.33	NA	intron (NM_029578, intron 1 of 11)	intron (NM_029578, intron 1 of 11)	399	NM_029578	76355	Mm.251537	NM_029578	ENSMUSG00000022130	Tgds	2610017J16Rik|2610025M23Rik|AI648925	TDP-glucose 4,6-dehydratase	protein-coding
MACS_peak_11625	chr7	19660611	19663262	+	2735.76	NA	exon (NM_010058, exon 1 of 5)	exon (NM_010058, exon 1 of 5)	387	NM_010058	13401	Mm.2852	NM_010058	ENSMUSG00000030410	Dmwd	DMR-N9|Dm9	dystrophia myotonica-containing WD repeat motif	protein-coding
MACS_peak_2505	chr11	102877503	102878801	+	2735.53	NA	intron (NM_026551, intron 1 of 4)	intron (NM_026551, intron 1 of 4)	309	NM_026551	68087	Mm.277449	NM_026551	ENSMUSG00000020935	Dcakd	3010024O21Rik|6720485C15Rik|AI849483	dephospho-CoA kinase domain containing	protein-coding
MACS_peak_14339	chrX	97688794	97690716	+	2734.97	NA	exon (NM_008784, exon 1 of 6)	exon (NM_008784, exon 1 of 6)	125	NM_008784	18518	Mm.7454	NM_008784	ENSMUSG00000031221	Igbp1	AI115586|AI662457|AW208785|C81413|Pc52|Tap42|p52	immunoglobulin (CD79A) binding protein 1	protein-coding
MACS_peak_12001	chr7	74366777	74368432	+	2734.90	NA	5' UTR (NM_001191051, exon 1 of 3)	5' UTR (NM_001191051, exon 1 of 3)	102	NM_001191051	75099	Mm.121691	NM_001191051	ENSMUSG00000043831	Lysmd4	4930506D23Rik	LysM, putative peptidoglycan-binding, domain containing 4	protein-coding
MACS_peak_2795	chr12	21378310	21380523	+	2733.94	NA	promoter-TSS (NM_009615)	promoter-TSS (NM_009615)	36	NM_009615	11491	Mm.27681	NM_009615	ENSMUSG00000052593	Adam17	CD156b|Tace	a disintegrin and metallopeptidase domain 17	protein-coding
MACS_peak_5265	chr16	45407647	45409519	+	2733.76	NA	intron (NM_010818, intron 1 of 5)	intron (NM_010818, intron 1 of 5)	583	NM_010818	17470	Mm.245851	NM_010818	ENSMUSG00000022661	Cd200	Mox2|OX2	CD200 antigen	protein-coding
MACS_peak_5847	chr17	37406758	37408448	+	2733.11	NA	exon (NM_013819, exon 2 of 8)	exon (NM_013819, exon 2 of 8)	424	NM_013819	14991	Mm.14437	NM_013819	ENSMUSG00000016206	H2-M3	H-2M3|Hmt|M3a|R4B2	histocompatibility 2, M region locus 3	protein-coding
MACS_peak_7434	chr2	72313378	72315680	+	2733.03	NA	intron (NM_025866, intron 1 of 8)	CpG	253	NM_025866	66953	Mm.270676	NM_025866	ENSMUSG00000055612	Cdca7	2310021G01Rik|AU044109|JPO1	cell division cycle associated 7	protein-coding
MACS_peak_10516	chr5	124889216	124891264	+	2732.08	NA	intron (NM_030241, intron 1 of 7)	CpG	301	NM_030241	67956	Mm.137966	NM_030241	ENSMUSG00000049327	Setd8	2410195B05Rik|AA617402|AW536475|PR-SET7	SET domain containing (lysine methyltransferase) 8	protein-coding
MACS_peak_12953	chr8	87380478	87382194	+	2731.61	NA	intron (NM_025648, intron 1 of 12)	intron (NM_025648, intron 1 of 12)	451	NM_025648	66590	Mm.292517	NM_025648	ENSMUSG00000003808	Farsa	0610012A19Rik|Farsla	phenylalanyl-tRNA synthetase, alpha subunit	protein-coding
MACS_peak_11168	chr6	87787722	87789712	+	2730.25	NA	promoter-TSS (NM_133934)	promoter-TSS (NM_133934)	36	NM_133934	57905	Mm.241546	NM_133934	ENSMUSG00000030056	Isy1	5830446M03Rik|AI181014|AU020769	ISY1 splicing factor homolog (S. cerevisiae)	protein-coding
MACS_peak_14397	chrX	109424622	109426235	+	2729.47	NA	intron (NM_026565, intron 1 of 8)	intron (NM_026565, intron 1 of 8)	411	NM_026565	68117	Mm.161014	NM_026565	ENSMUSG00000025525	Apool	6720473G16Rik|9430083G14Rik|E130106L15Rik	apolipoprotein O-like	protein-coding
MACS_peak_1190	chr10	77043783	77045756	+	2727.33	NA	intron (NM_145925, intron 1 of 5)	CpG	257	NM_145925	108705	Mm.28853	NM_145925	ENSMUSG00000009291	Pttg1ip	1810010L20Rik|AI314311|AU018448|C79540	pituitary tumor-transforming 1 interacting protein	protein-coding
MACS_peak_4538	chr15	51708508	51710092	+	2727.20	NA	intron (NM_030132, intron 1 of 2)	CpG	313	NM_030132	78581	Mm.176347	NM_030132	ENSMUSG00000022313	Utp23	1700010I21Rik|AI662478|BB238373|D530033C11Rik	UTP23, small subunit (SSU) processome component, homolog (yeast)	protein-coding
MACS_peak_2148	chr11	76758502	76760348	+	2727.01	NA	intron (NM_178645, intron 1 of 11)	CpG-2252	267	NM_178645	104184	Mm.399785	NM_178645	ENSMUSG00000020840	Blmh	AI035728|Bh|Bmh	bleomycin hydrolase	protein-coding
MACS_peak_14499	chrX	149931652	149935007	+	2726.96	NA	exon (NM_018798, exon 1 of 1)	exon (NM_018798, exon 1 of 1)	554	NM_018798	54609	Mm.430772	NM_018798	ENSMUSG00000050148	Ubqln2	Chap1|Dsk2|HRIHFB2157|Plic-2|Plic2	ubiquilin 2	protein-coding
MACS_peak_14477	chrX	147246709	147249137	+	2726.96	NA	intron (NM_030700, intron 1 of 12)	intron (NM_030700, intron 1 of 12)	323	NM_001199246	80884	Mm.464982	XM_003946372	ENSMUSG00000025268	Maged2	4833439A22Rik|Mage-d2|ORF1	melanoma antigen, family D, 2	protein-coding
MACS_peak_6862	chr19	42164090	42166319	+	2726.05	NA	exon (NM_145501, exon 1 of 9)	exon (NM_145501, exon 1 of 9)	279	NM_145501	84095	Mm.117037	NM_145501	ENSMUSG00000025178	Pi4k2a	Pi4k2	phosphatidylinositol 4-kinase type 2 alpha	protein-coding
MACS_peak_9471	chr4	124427995	124430058	+	2725.71	NA	intron (NM_008385, intron 7 of 23)	CpG	8001	NR_030480	735263		NR_030480		Mir698	Mirn698|mir-698|mmu-mir-698	microRNA 698	miscRNA
MACS_peak_9095	chr4	46208154	46209904	+	2725.68	NA	exon (NM_011728, exon 1 of 6)	exon (NM_011728, exon 1 of 6)	154	NM_011728	22590	Mm.247036	NM_011728	ENSMUSG00000028329	Xpa	AI573865|Xpac	xeroderma pigmentosum, complementation group A	protein-coding
MACS_peak_13375	chr9	24306417	24308778	+	2725.64	NA	promoter-TSS (NM_172920)	promoter-TSS (NM_172920)	-13	NM_172920	244745	Mm.38526	NM_172920	ENSMUSG00000043067	Dpy19l1	1100001I19Rik|6030402K12|AI225861|AW558481	dpy-19-like 1 (C. elegans)	protein-coding
MACS_peak_14391	chrX	105010398	105012074	+	2725.39	NA	promoter-TSS (NM_001163104)	promoter-TSS (NM_001163104)	437	NM_025921	67028	Mm.37274	NM_025921	ENSMUSG00000031242	2610002M06Rik	8430408J07Rik|AI876413|Chmp1b2	RIKEN cDNA 2610002M06 gene	protein-coding
MACS_peak_9955	chr5	23957404	23959714	+	2723.90	NA	intron (NM_139153, intron 1 of 17)	intron (NM_139153, intron 1 of 17)	564	NM_001256431	213990	Mm.250703	NM_001256431	ENSMUSG00000023353	Agap3	AGAP-3|AV028425|Centg3|Crag|Crag.|MRIP-1|cnt-g3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	protein-coding
MACS_peak_7702	chr2	121282156	121284009	+	2722.98	NA	promoter-TSS (NM_001025371)	promoter-TSS (NM_001025371)	258	NM_026318	67693	Mm.330525	NM_026318	ENSMUSG00000027245	2310003F16Rik	HSPC136|HYPK|RP23-433P19.12	RIKEN cDNA 2310003F16 gene	protein-coding
MACS_peak_5466	chr17	8993228	8996092	+	2722.68	NA	promoter-TSS (NM_011866)	promoter-TSS (NM_011866)	50	NM_011866	23984	Mm.87161	NM_011866	ENSMUSG00000023868	Pde10a	-	phosphodiesterase 10A	protein-coding
MACS_peak_12885	chr8	80072679	80074615	+	2722.39	NA	intron (NM_001081240, intron 1 of 11)	intron (NM_001081240, intron 1 of 11)	351	NM_001081240	102182	Mm.197630	NM_178903	ENSMUSG00000037134	Prmt10	AI931714	protein arginine methyltransferase 10 (putative)	protein-coding
MACS_peak_1364	chr10	88288461	88290355	+	2722.28	NA	5' UTR (NM_175158, exon 1 of 62)	5' UTR (NM_175158, exon 1 of 62)	151	NM_175158	70683	Mm.29631	NM_175158	ENSMUSG00000004356	Utp20	3830408P06Rik|AA617408|Drim|mDRIM|mDRIN	UTP20, small subunit (SSU) processome component, homolog (yeast)	protein-coding
MACS_peak_12869	chr8	74763247	74765087	+	2722.25	NA	intron (NM_007456, intron 1 of 11)	CpG	136	NM_007456	11767	Mm.290086	NM_007456	ENSMUSG00000003033	Ap1m1	AA408894|AP47|Adtm1A|Cltnm|[m]1A|mu1A	adaptor-related protein complex AP-1, mu subunit 1	protein-coding
MACS_peak_10704	chr5	144075554	144077390	+	2721.26	NA	intron (NM_172726, intron 1 of 5)	CpG	567	NM_172726	231868	Mm.440105	NM_172726	ENSMUSG00000039244	E130309D02Rik	A630028N22	RIKEN cDNA E130309D02 gene	protein-coding
MACS_peak_1362	chr10	87965386	87967377	+	2720.76	NA	non-coding (NR_027477, exon 1 of 9)	non-coding (NR_027477, exon 1 of 9)	334	NR_027477	212862	Mm.288897	NM_001146690	ENSMUSG00000060002	Chpt1	-	choline phosphotransferase 1	protein-coding
MACS_peak_12055	chr7	87376487	87378618	+	2720.28	NA	promoter-TSS (NM_011870)	promoter-TSS (NM_011870)	-50	NM_011870	23991	Mm.30217	NM_011870	ENSMUSG00000030538	Cib1	Cibkip|Kip|Prkdcip	calcium and integrin binding 1 (calmyrin)	protein-coding
